0.0,0.0,0.0,-0.3141592653589793,-0.15707963267948966,-0.15707963267948966,-1.5707963267948966,0.0,0.0,0.0,0.0,0.0,0.0
-0.0019,-0.0037,-0.0017,-0.2991,-0.0254,-0.3188,-1.5283,0.0021,-0.0253,-0.1299,-0.0562,-0.099,0.0
-0.0042,-0.005,-0.0038,-0.2843,0.0665,-0.3819,-1.5451,0.0039,0.0102,-0.2201,-0.058,-0.1519,0.0
-0.0063,-0.0059,-0.0057,-0.2703,0.1371,-0.4013,-1.5848,0.0055,0.0495,-0.2956,-0.0527,-0.1934,0.0
-0.0081,-0.0066,-0.0074,-0.2571,0.191,-0.3894,-1.6396,0.0069,0.0859,-0.3604,-0.0463,-0.2283,0.0
-0.0097,-0.0072,-0.0089,-0.2446,0.229,-0.3491,-1.7073,0.0081,0.1167,-0.417,-0.0413,-0.2591,0.0
-0.011,-0.0079,-0.0101,-0.2329,0.2492,-0.2775,-1.7889,0.0091,0.1392,-0.468,-0.0405,-0.2884,0.0
-0.0121,-0.0089,-0.0111,-0.2219,0.2444,-0.1613,-1.8904,0.01,0.1466,-0.5186,-0.0501,-0.322,0.0
-0.0126,-0.0118,-0.0115,-0.2119,0.1863,0.0387,-2.0331,0.0107,0.0989,-0.593,-0.1054,-0.3887,0.0
-0.0116,-0.0247,-0.0101,-0.2045,0.2866,-0.1613,-1.9128,0.0114,-0.2011,-0.8239,-0.3999,-0.6475,0.0
-0.0118,-0.0281,-0.0103,-0.1955,0.2241,0.0387,-2.0485,0.0119,-0.2662,-0.9019,-0.4685,-0.722,0.0
-0.0103,-0.0401,-0.0089,-0.1886,0.3022,-0.1241,-1.9552,0.0123,-0.5582,-1.1157,-0.7367,-0.9597,0.0
-0.0101,-0.0452,-0.0087,-0.1807,0.2249,0.0759,-2.0877,0.0126,-0.6707,-1.219,-0.8461,-1.0661,0.0
-0.0093,-0.0536,-0.0079,-0.1738,0.3336,-0.1241,-1.9788,0.0129,-0.8692,-1.3757,-1.0317,-1.2357,0.0
-0.009,-0.0589,-0.0076,-0.1667,0.2591,0.0759,-2.0999,0.0131,-0.9884,-1.481,-1.1464,-1.3455,0.0
-0.0083,-0.0669,-0.0069,-0.1604,0.3505,-0.1004,-2.0072,0.0133,-1.177,-1.6303,-1.3229,-1.5069,0.0
-0.0077,-0.0733,-0.0064,-0.1542,0.2786,0.0834,-2.1116,0.0134,-1.3272,-1.7507,-1.4639,-1.6365,0.0
-0.0071,-0.0805,-0.0058,-0.1483,0.3635,-0.0784,-2.0275,0.0134,-1.4948,-1.8869,-1.6218,-1.7824,0.0
-0.0065,-0.0877,-0.0052,-0.1426,0.3019,0.0719,-2.1094,0.0134,-1.6613,-2.0226,-1.7788,-1.9277,0.0
